P;Attribute (sl);Value (sl);Code (sl);Attribute (en);Value (en);Code (en)
0;besedna_vrsta;zaimek;Z;CATEGORY;Pronoun;P
1;vrsta;osebni;o;Type;personal;p
;;svojilni;s;;possessive;s
;;kazalni;k;;demonstrative;d
;;oziralni;z;;relative;r
;;povratni;p;;reflexive;x
;;celostni;c;;general;g
;;vprašalni;v;;interrogative;q
;;nedoločni;n;;indefinite;i
;;nikalni;l;;negative;z
2;oseba;prva;p;Person;first;1
;;druga;d;;second;2
;;tretja;t;;third;3
3;spol;moški;m;Gender;masculine;m
;;ženski;z;;feminine;f
;;srednji;s;;neuter;n
4;število;ednina;e;Number;singular;s
;;dvojina;d;;dual;d
;;množina;m;;plural;p
5;sklon;imenovalnik;i;Case;nominative;n
;;rodilnik;r;;genitive;g
;;dajalnik;d;;dative;d
;;tožilnik;t;;accusative;a
;;mestnik;m;;locative;l
;;orodnik;o;;instrumental;i
6;število_svojine;ednina;e;Owner_Number;singular;s
;;dvojina;d;;dual;d
;;množina;m;;plural;p
7;spol_svojine;moški;m;Owner_Gender;masculine;m
;;ženski;z;;feminine;f
;;srednji;s;;neuter;n
8;naslonskost;klitična;k;Clitic;yes;y
;;navezna;z;;bound;b
